metric,period,plan,cohort,value,unit,time_basis,denominator,filters
allowed_cost,2024,PPO,All enrolled,4932374.6400,USD,incurred_calendar_year,not_applicable,providers=all;status=eligible
member_months,2024,PPO,All enrolled,7032,member-months,incurred_calendar_year,not_applicable,providers=all;status=eligible
pmpm,2024,PPO,All enrolled,701.4185,USD/member/month,incurred_calendar_year,enrolled_member_months,providers=all;status=eligible
members_with_episode_pct,2024,PPO,All enrolled,8.8591,percent,incurred_calendar_year,enrolled_members,providers=all;status=eligible
admissions_per_1000,2024,PPO,All enrolled,45.6376,admissions/1000 members,incurred_calendar_year,enrolled_members/1000,providers=all;status=eligible
risk_score,2024,PPO,All enrolled,0.9866,score,incurred_calendar_year,scored_members,providers=all;status=eligible
allowed_cost,2024,PPO,Continuous enrollment,3454037.1600,USD,incurred_calendar_year,not_applicable,providers=all;status=eligible
member_months,2024,PPO,Continuous enrollment,5124,member-months,incurred_calendar_year,not_applicable,providers=all;status=eligible
pmpm,2024,PPO,Continuous enrollment,674.0900,USD/member/month,incurred_calendar_year,enrolled_member_months,providers=all;status=eligible
members_with_episode_pct,2024,PPO,Continuous enrollment,12.6464,percent,incurred_calendar_year,enrolled_members,providers=all;status=eligible
admissions_per_1000,2024,PPO,Continuous enrollment,46.8384,admissions/1000 members,incurred_calendar_year,enrolled_members/1000,providers=all;status=eligible
risk_score,2024,PPO,Continuous enrollment,1.0570,score,incurred_calendar_year,scored_members,providers=all;status=eligible
allowed_cost,2024,HDHP,All enrolled,4952287.0200,USD,incurred_calendar_year,not_applicable,providers=all;status=eligible
member_months,2024,HDHP,All enrolled,6102,member-months,incurred_calendar_year,not_applicable,providers=all;status=eligible
pmpm,2024,HDHP,All enrolled,811.5842,USD/member/month,incurred_calendar_year,enrolled_member_months,providers=all;status=eligible
members_with_episode_pct,2024,HDHP,All enrolled,29.9401,percent,incurred_calendar_year,enrolled_members,providers=all;status=eligible
admissions_per_1000,2024,HDHP,All enrolled,41.9162,admissions/1000 members,incurred_calendar_year,enrolled_members/1000,providers=all;status=eligible
risk_score,2024,HDHP,All enrolled,1.0989,score,incurred_calendar_year,scored_members,providers=all;status=eligible
allowed_cost,2024,HDHP,Continuous enrollment,3619855.9300,USD,incurred_calendar_year,not_applicable,providers=all;status=eligible
member_months,2024,HDHP,Continuous enrollment,4188,member-months,incurred_calendar_year,not_applicable,providers=all;status=eligible
pmpm,2024,HDHP,Continuous enrollment,864.3450,USD/member/month,incurred_calendar_year,enrolled_member_months,providers=all;status=eligible
members_with_episode_pct,2024,HDHP,Continuous enrollment,36.1032,percent,incurred_calendar_year,enrolled_members,providers=all;status=eligible
admissions_per_1000,2024,HDHP,Continuous enrollment,40.1646,admissions/1000 members,incurred_calendar_year,enrolled_members/1000,providers=all;status=eligible
risk_score,2024,HDHP,Continuous enrollment,1.2790,score,incurred_calendar_year,scored_members,providers=all;status=eligible
allowed_cost,2025,PPO,All enrolled,not_available,USD,incurred_calendar_year,not_applicable,providers=all;status=eligible
