data_kind,metric,period,plan,cohort,source_count,target_count,source_value,target_value,source_unit,target_unit,source_time_basis,target_time_basis,source_denominator,target_denominator,source_filters,target_filters,delta,absolute_tolerance,relative_change_pct,status,needs_review,reasons,definition_changes
synthetic,admissions_per_1000,2024,HDHP,All enrolled,1,1,41.9162,41.9162,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.1,0.0000,exact_match,False,,[]
synthetic,admissions_per_1000,2024,HDHP,Continuous enrollment,1,1,40.1146,40.1646,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=all;status=eligible,0.0500,0.1,0.1246,within_tolerance,False,,[]
synthetic,admissions_per_1000,2024,PPO,All enrolled,1,1,45.6376,45.6376,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.1,0.0000,exact_match,False,,[]
synthetic,admissions_per_1000,2024,PPO,Continuous enrollment,1,1,46.8384,46.8384,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.1,0.0000,exact_match,False,,[]
synthetic,admissions_per_1000,2025,HDHP,All enrolled,1,1,38.6555,38.6555,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.1,0.0000,exact_match,False,,[]
synthetic,admissions_per_1000,2025,HDHP,Continuous enrollment,1,1,29.5455,29.5455,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.1,0.0000,exact_match,False,,[]
synthetic,admissions_per_1000,2025,PPO,All enrolled,1,1,59.1398,59.1398,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=top10;status=eligible,,0.1,,definition_mismatch,True,definition_mismatch,"[{""field"": ""filters"", ""source"": ""providers=all;status=eligible"", ""target"": ""providers=top10;status=eligible""}]"
synthetic,admissions_per_1000,2025,PPO,Continuous enrollment,1,1,134.6154,134.6154,admissions/1000 members,admissions/1000 members,incurred_calendar_year,incurred_calendar_year,enrolled_members/1000,enrolled_members/1000,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.1,0.0000,exact_match,False,,[]
synthetic,allowed_cost,2024,HDHP,All enrolled,1,1,4952287.0200,4952287.0200,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0.0000,0.01,0.0000,exact_match,False,,[]
synthetic,allowed_cost,2024,HDHP,Continuous enrollment,1,1,3619855.9200,3619855.9300,USD,USD,incurred_calendar_year,incurred_calendar_year,not_applicable,not_applicable,providers=all;status=eligible,providers=all;status=eligible,0.0100,0.01,0.0000,within_tolerance,False,,[]
